Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,PROKKA_Fusobacterium_necrophorum_BL.fna,PROKKA_Fusobacterium_necrophorum_D12.fna,PROKKA_Fusobacterium_necrophorum_DJ-1.fna,PROKKA_Fusobacterium_necrophorum_DJ-2.fna,PROKKA_Fusobacterium_necrophorum_isolate_MGYG-HGUT-02362.fna,PROKKA_Fusobacterium_necrophorum_strain_ATCC_25286.fna,PROKKA_Fusobacterium_necrophorum_strain_FDAARGOS_565.fna,PROKKA_Fusobacterium_necrophorum_strain_KG34.fna,PROKKA_Fusobacterium_necrophorum_strain_KG35.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_ATCC_51357.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_B35_FNF_B35.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_Fnf_1007.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_1_1.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_CCUG_42162.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1248.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1250.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1260.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1267.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1285.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1291.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1309.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1314_102.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1330.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1351_200.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1353.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1365.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1195_338.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1197.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1260.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1264.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1266.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1272_324.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1291.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_P1_CP.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_P1_LM.fna,PROKKA_Fusobacterium_necrophorum_subsp._necrophorum_strain_ATCC_25286.fna,PROKKA_usobacterium_necrophorum_BFTR-1.fna,PROKKA_usobacterium_necrophorum_BFTR-2.fna,PROKKA_usobacterium_necrophorum_DAB.fna,PROKKA_usobacterium_necrophorum_HUN048_T527.fna,PROKKA_usobacterium_necrophorum_subsp._funduliforme_B35.fna,PROKKA_usobacterium_necrophorum_subsp._funduliforme_strain_LS_1280.fna
group_1023,,hypothetical protein,42,42,1,56,1136,,,,404,452,450,CNENEDLI_00686,DFALKBJJ_01321,EJBHNGMC_02197,DCFFOKJI_00415,PHBPEANE_00378,JINGLCIG_00216,ADPOPIFB_00209,NJBJJNNI_00779,DJMJFLHK_01294,AIHILEFE_01895,JGGOHAED_00173,GJMCKLCA_00668,GBODHHMP_01544,MNODNHPF_00155,EJGBHNGE_01050,BJIHFIIA_01088,CCJAMINL_01210,INNBEBHB_00968,BCLEFNON_00989,PIKLICFD_00973,KCBGGAIE_00983,DKDLJDCI_00970,HHABKOMD_00918,HFDAGFPP_01078,OIIKEPCC_00288,LJEDAGOM_00088,IPMILDJG_01769,BJPOBNPA_00923,MHOHJPEI_00955,IFBIBDFK_00361,NDJNICBH_00048,GDMGBJMC_01832,PCEJJBAK_00155,CENHJHOP_01060,OJDKFIFK_00722,HDNLMBCC_01257,LLAELIHG_00426,JNMNFCGE_00250,FDAPKMPL_02181,PPEHEOKD_00339,GBLJPCAA_00732,DMLJKPOB_00111
prmA,,Ribosomal protein L11 methyltransferase,42,42,1,56,4496,,,,251,929,912,CNENEDLI_00741,DFALKBJJ_01758,EJBHNGMC_01192,DCFFOKJI_01157,PHBPEANE_01628,JINGLCIG_01276,ADPOPIFB_02322,NJBJJNNI_01842,DJMJFLHK_01077,AIHILEFE_01421,JGGOHAED_01424,GJMCKLCA_00494,GBODHHMP_01226,MNODNHPF_00059,EJGBHNGE_00803,BJIHFIIA_00582,CCJAMINL_01086,INNBEBHB_00610,BCLEFNON_00549,PIKLICFD_00876,KCBGGAIE_00604,DKDLJDCI_00874,HHABKOMD_00536,HFDAGFPP_00173,OIIKEPCC_00384,LJEDAGOM_00361,IPMILDJG_01998,BJPOBNPA_00795,MHOHJPEI_00533,IFBIBDFK_00265,NDJNICBH_00535,GDMGBJMC_01757,PCEJJBAK_00059,CENHJHOP_00292,OJDKFIFK_00419,HDNLMBCC_01549,LLAELIHG_00843,JNMNFCGE_00899,FDAPKMPL_01688,PPEHEOKD_00221,GBLJPCAA_00569,DMLJKPOB_00402
group_1034,,hypothetical protein,42,42,1,56,3823,,,,710,758,712,CNENEDLI_00829,DFALKBJJ_01849,EJBHNGMC_01460,DCFFOKJI_00609,PHBPEANE_00234,JINGLCIG_01825,ADPOPIFB_00979,NJBJJNNI_00967,DJMJFLHK_00242,AIHILEFE_00410,JGGOHAED_00785,GJMCKLCA_01838,GBODHHMP_00424,MNODNHPF_00948,EJGBHNGE_01184,BJIHFIIA_01886,CCJAMINL_00110,INNBEBHB_01426,BCLEFNON_01601,PIKLICFD_00105,KCBGGAIE_01293,DKDLJDCI_01266,HHABKOMD_01262,HFDAGFPP_00858,OIIKEPCC_01343,LJEDAGOM_00424,IPMILDJG_00284,BJPOBNPA_00064,MHOHJPEI_01681,IFBIBDFK_01650,NDJNICBH_01052,GDMGBJMC_01432,PCEJJBAK_01487,CENHJHOP_00811,OJDKFIFK_01112,HDNLMBCC_00489,LLAELIHG_01462,JNMNFCGE_01541,FDAPKMPL_00975,PPEHEOKD_01229,GBLJPCAA_02224,DMLJKPOB_01281
purM,,Phosphoribosylformylglycinamidine cyclo-ligase,42,42,1,56,1244,,,,764,1016,1010,CNENEDLI_00842,DFALKBJJ_01362,EJBHNGMC_00191,DCFFOKJI_01057,PHBPEANE_00421,JINGLCIG_00768,ADPOPIFB_02233,NJBJJNNI_00114,DJMJFLHK_00460,AIHILEFE_01849,JGGOHAED_00123,GJMCKLCA_01136,GBODHHMP_01596,MNODNHPF_00201,EJGBHNGE_01086,BJIHFIIA_01045,CCJAMINL_01253,INNBEBHB_00925,BCLEFNON_00946,PIKLICFD_01023,KCBGGAIE_00939,DKDLJDCI_01020,HHABKOMD_00875,HFDAGFPP_01114,OIIKEPCC_00238,LJEDAGOM_00045,IPMILDJG_01726,BJPOBNPA_00959,MHOHJPEI_00912,IFBIBDFK_00411,NDJNICBH_00005,GDMGBJMC_01796,PCEJJBAK_00205,CENHJHOP_01103,OJDKFIFK_00765,HDNLMBCC_01638,LLAELIHG_00184,JNMNFCGE_00263,FDAPKMPL_00713,PPEHEOKD_00382,GBLJPCAA_00797,DMLJKPOB_00153
patB_1,,Cystathionine beta-lyase PatB,42,42,1,56,1214,,,,1187,1187,1187,CNENEDLI_00867,DFALKBJJ_01348,EJBHNGMC_01105,DCFFOKJI_01032,PHBPEANE_00405,JINGLCIG_00742,ADPOPIFB_02259,NJBJJNNI_00772,DJMJFLHK_00479,AIHILEFE_01873,JGGOHAED_00146,GJMCKLCA_01120,GBODHHMP_01572,MNODNHPF_00177,EJGBHNGE_01070,BJIHFIIA_01061,CCJAMINL_01237,INNBEBHB_00941,BCLEFNON_00962,PIKLICFD_00999,KCBGGAIE_00955,DKDLJDCI_00996,HHABKOMD_00891,HFDAGFPP_01098,OIIKEPCC_00262,LJEDAGOM_00061,IPMILDJG_01742,BJPOBNPA_00943,MHOHJPEI_00928,IFBIBDFK_00387,NDJNICBH_00021,GDMGBJMC_01812,PCEJJBAK_00181,CENHJHOP_01087,OJDKFIFK_00749,HDNLMBCC_01612,LLAELIHG_00205,JNMNFCGE_00288,FDAPKMPL_00733,PPEHEOKD_00366,GBLJPCAA_00768,DMLJKPOB_00137
truB,,tRNA pseudouridine synthase B,42,42,1,56,1213,,,,752,857,854,CNENEDLI_00868,DFALKBJJ_01347,EJBHNGMC_01104,DCFFOKJI_01031,PHBPEANE_00404,JINGLCIG_00741,ADPOPIFB_02260,NJBJJNNI_00771,DJMJFLHK_00480,AIHILEFE_01874,JGGOHAED_00147,GJMCKLCA_01119,GBODHHMP_01571,MNODNHPF_00176,EJGBHNGE_01069,BJIHFIIA_01062,CCJAMINL_01236,INNBEBHB_00942,BCLEFNON_00963,PIKLICFD_00998,KCBGGAIE_00956,DKDLJDCI_00995,HHABKOMD_00892,HFDAGFPP_01097,OIIKEPCC_00263,LJEDAGOM_00062,IPMILDJG_01743,BJPOBNPA_00942,MHOHJPEI_00929,IFBIBDFK_00386,NDJNICBH_00022,GDMGBJMC_01813,PCEJJBAK_00180,CENHJHOP_01086,OJDKFIFK_00748,HDNLMBCC_01611,LLAELIHG_00206,JNMNFCGE_00289,FDAPKMPL_00734,PPEHEOKD_00365,GBLJPCAA_00767,DMLJKPOB_00136
lacC,,Tagatose-6-phosphate kinase,42,42,1,56,1515,,,,920,920,920,CNENEDLI_00917,DFALKBJJ_01751,EJBHNGMC_01912,DCFFOKJI_01882,PHBPEANE_01636,JINGLCIG_00362,ADPOPIFB_01881,NJBJJNNI_01835,DJMJFLHK_00838,AIHILEFE_01414,JGGOHAED_01431,GJMCKLCA_00487,GBODHHMP_01218,MNODNHPF_00052,EJGBHNGE_00796,BJIHFIIA_00589,CCJAMINL_01079,INNBEBHB_00617,BCLEFNON_00556,PIKLICFD_00869,KCBGGAIE_00611,DKDLJDCI_00867,HHABKOMD_00543,HFDAGFPP_00180,OIIKEPCC_00391,LJEDAGOM_00368,IPMILDJG_01991,BJPOBNPA_00787,MHOHJPEI_00540,IFBIBDFK_00258,NDJNICBH_00542,GDMGBJMC_01750,PCEJJBAK_00052,CENHJHOP_00300,OJDKFIFK_00411,HDNLMBCC_01989,LLAELIHG_01874,JNMNFCGE_02151,FDAPKMPL_01955,PPEHEOKD_00066,GBLJPCAA_00559,DMLJKPOB_00409
cvfB,,Conserved virulence factor B,42,42,1,56,6066,,,,848,857,856,CNENEDLI_00971,DFALKBJJ_01616,EJBHNGMC_01181,DCFFOKJI_01521,PHBPEANE_00925,JINGLCIG_02166,ADPOPIFB_01533,NJBJJNNI_01707,DJMJFLHK_00515,AIHILEFE_00884,JGGOHAED_01086,GJMCKLCA_01278,GBODHHMP_02088,MNODNHPF_01811,EJGBHNGE_00451,BJIHFIIA_01337,CCJAMINL_01762,INNBEBHB_01260,BCLEFNON_01981,PIKLICFD_01519,KCBGGAIE_01178,DKDLJDCI_01591,HHABKOMD_01153,HFDAGFPP_01447,OIIKEPCC_00487,LJEDAGOM_01283,IPMILDJG_01435,BJPOBNPA_01449,MHOHJPEI_01895,IFBIBDFK_02279,NDJNICBH_00694,GDMGBJMC_01262,PCEJJBAK_00348,CENHJHOP_01609,OJDKFIFK_01607,HDNLMBCC_02336,LLAELIHG_01447,JNMNFCGE_01642,FDAPKMPL_00303,PPEHEOKD_00714,GBLJPCAA_01388,DMLJKPOB_01602
ssuB,,Aliphatic sulfonates import ATP-binding protein SsuB,42,42,1,56,6068,,,,641,695,642,CNENEDLI_00973,DFALKBJJ_01614,EJBHNGMC_01183,DCFFOKJI_01523,PHBPEANE_00927,JINGLCIG_02168,ADPOPIFB_01531,NJBJJNNI_01709,DJMJFLHK_00517,AIHILEFE_00882,JGGOHAED_01088,GJMCKLCA_01276,GBODHHMP_02090,MNODNHPF_01809,EJGBHNGE_00453,BJIHFIIA_01339,CCJAMINL_01764,INNBEBHB_01262,BCLEFNON_01983,PIKLICFD_01521,KCBGGAIE_01180,DKDLJDCI_01589,HHABKOMD_01155,HFDAGFPP_01449,OIIKEPCC_00485,LJEDAGOM_01285,IPMILDJG_01437,BJPOBNPA_01451,MHOHJPEI_01897,IFBIBDFK_02277,NDJNICBH_00696,GDMGBJMC_01264,PCEJJBAK_00350,CENHJHOP_01611,OJDKFIFK_01609,HDNLMBCC_02338,LLAELIHG_01449,JNMNFCGE_01640,FDAPKMPL_00301,PPEHEOKD_00712,GBLJPCAA_01390,DMLJKPOB_01604
nrdD,,Anaerobic ribonucleoside-triphosphate reductase,42,42,1,56,6078,,,,2204,2291,2206,CNENEDLI_00980,DFALKBJJ_01606,EJBHNGMC_01501,DCFFOKJI_01530,PHBPEANE_00934,JINGLCIG_02175,ADPOPIFB_01524,NJBJJNNI_01716,DJMJFLHK_00524,AIHILEFE_00875,JGGOHAED_01095,GJMCKLCA_01269,GBODHHMP_02097,MNODNHPF_01802,EJGBHNGE_00460,BJIHFIIA_01346,CCJAMINL_01771,INNBEBHB_01269,BCLEFNON_01990,PIKLICFD_01528,KCBGGAIE_01187,DKDLJDCI_01582,HHABKOMD_01162,HFDAGFPP_01456,OIIKEPCC_00478,LJEDAGOM_01292,IPMILDJG_01444,BJPOBNPA_01458,MHOHJPEI_01904,IFBIBDFK_02270,NDJNICBH_00703,GDMGBJMC_01271,PCEJJBAK_00357,CENHJHOP_01618,OJDKFIFK_01616,HDNLMBCC_02345,LLAELIHG_00797,JNMNFCGE_01633,FDAPKMPL_00294,PPEHEOKD_00705,GBLJPCAA_01398,DMLJKPOB_01611
